url,risk_score,status,time
https://www.netflix.com/watch/80204890?trackId=14170286&tctx=1%2C1%2Ccc05be73-5b75-4189-9807-9a1a49eddfd3-78539582%2CNES_E976184B51D63B2C4C9647898E6836-994911DC4F528C-297C576EB1_p_1778688801141%2CNES_E976184B51D63B2C4C9647898E6836_p_1778688801141%2C%2C%2C%2C80204890%2CVideo%3A80204890%2CminiDpPlayButton,10,SAFE,2026-05-13 21:49:15
https://www.netflix.com/watch/80239925?trackId=14170286,10,SAFE,2026-05-13 21:49:15
chrome://newtab/,14,SAFE,2026-05-13 22:49:35
https://chatgpt.com/,47,SUSPICIOUS,2026-05-13 22:49:37
https://chatgpt.com/c/6a04b2e6-98a8-83a4-806c-eb2d1f89f5f3,99,HIGH RISK,2026-05-13 22:50:43
https://www.netflix.com/watch/80239924?trackId=155573558,10,SAFE,2026-05-13 23:05:07
chrome://newtab/,14,SAFE,2026-05-13 23:24:23
https://www.google.com/search?q=force+india+race+in+india&oq=force+india+race+in+india&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRigATIHCAIQIRigATIHCAMQIRiPAtIBCDY1MjFqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,10,SAFE,2026-05-13 23:24:31
https://www.netflix.com/watch/80239928?trackId=155573560,10,SAFE,2026-05-13 23:37:56
chrome://newtab/,14,SAFE,2026-05-14 00:55:47
https://www.google.com/search?q=what+is+flask&oq=what+is+flask&gs_lcrp=EgZjaHJvbWUyDAgAEEUYORixAxiABDIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIHCAcQABiABDIHCAgQABiABDIHCAkQABiABNIBCDUwMDdqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,10,SAFE,2026-05-14 00:55:52
chrome://newtab/,14,SAFE,2026-05-14 01:03:13
https://www.google.com/search?q=logstic+regression&oq=logstic+regression&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIOCAEQABgKGAsYsQMYgAQyCwgCEAAYChgLGIAEMgsIAxAAGAoYCxiABDILCAQQABgKGAsYgAQyCwgFEAAYChgLGIAEMg4IBhAAGAoYCxixAxiABDILCAcQABgKGAsYgAQyCwgIEAAYChgLGIAEMgsICRAAGAoYCxiABNIBCDQyMTJqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,10,SAFE,2026-05-14 01:03:18
https://www.google.com/search?sca_esv=77b8489817097e66&sxsrf=ANbL-n5XKJgds4p8buzkEfPvFHG9BT97Sw:1778700798090&udm=2&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpaEWjvZ2Py1XXV8d8KvlI3p-ML-906rRL_m6h4jR-tdCH-vUIlZq9RzugLEcfjf51b4dfDKizXS4hTwRCZW2TydVcnv1RUVx0SX0axPgL6aA1y5lH4oIQTHc9n3as9K40uq1ucVlSq7hphXixGrVbAHaxl4xbaQRNq-TBoJwkyHSzWgD1m8zRB8KZ0lvZ8gcgw8mFAQ&q=logistic+regression&sa=X&ved=2ahUKEwi3ke3pgLeUAxUqSGcHHTdfHd8QtKgLegQIGBAB&biw=1280&bih=712&dpr=2,10,SAFE,2026-05-14 01:03:19
https://chatgpt.com/c/WEB:e667749b-2f58-4d14-a989-df8a34b5b12d,99,HIGH RISK,2026-05-14 01:06:03
https://chatgpt.com/c/6a037e9d-d61c-83a3-a719-f5a6bf5e3270,99,HIGH RISK,2026-05-14 01:06:06
chrome://newtab/,14,SAFE,2026-05-14 01:24:11
https://www.google.com/search?q=what+is+svm+model+ml&oq=what+is+svm+model+ml&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yCAgCEAAYFhgeMg0IAxAAGIYDGIAEGIoFMg0IBBAAGIYDGIAEGIoFMg0IBRAAGIYDGIAEGIoFMg0IBhAAGIYDGIAEGIoFMgoIBxAAGIAEGKIEMgcICBAAGO8FMgcICRAAGO8F0gEINjQxMWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,10,SAFE,2026-05-14 01:24:18
chrome://extensions/,47,SUSPICIOUS,2026-05-14 01:33:14
chrome://newtab/,14,SAFE,2026-05-14 01:33:35
https://www.cineby.sc/,50,SUSPICIOUS,2026-05-14 01:33:39
chrome://extensions/?id=mloilabgjghfnhmdcgciiknlkoddkcgl,52,SUSPICIOUS,2026-05-14 01:33:45
chrome://newtab/,14,SAFE,2026-05-14 01:33:52
https://www.google.com/,10,SAFE,2026-05-14 01:33:56
chrome://newtab/,14,SAFE,2026-05-14 01:42:58
https://www.google.com/,5,SAFE,2026-05-14 01:43:06
chrome://extensions/,47,SUSPICIOUS,2026-05-14 01:43:13
chrome://extensions/?id=mloilabgjghfnhmdcgciiknlkoddkcgl,52,SUSPICIOUS,2026-05-14 01:43:26
https://chatgpt.com/c/69a7c4b0-0ce8-83a4-9a28-9e7d7fc36596,99,HIGH RISK,2026-05-14 01:45:46
chrome://newtab/,14,SAFE,2026-05-14 09:13:28
https://chatgpt.com/,47,SUSPICIOUS,2026-05-14 09:13:30
https://chatgpt.com/c/69a7c4b0-0ce8-83a4-9a28-9e7d7fc36596,99,HIGH RISK,2026-05-14 09:13:44
chrome://newtab/,14,SAFE,2026-05-14 09:14:09
https://www.google.com/,5,SAFE,2026-05-14 09:14:11
chrome://newtab/,14,SAFE,2026-05-14 09:14:25
https://www.amazon.com/,5,SAFE,2026-05-14 09:14:28
chrome://newtab/,14,SAFE,2026-05-14 09:15:33
http://secure-bank-login-update.com/,100,HIGH RISK,2026-05-14 09:15:34
chrome://newtab/,14,SAFE,2026-05-14 10:28:14
https://www.google.com/,5,SAFE,2026-05-14 10:28:22
https://www.google.com/?zx=1778734702892,5,SAFE,2026-05-14 10:28:22
chrome://newtab/,14,SAFE,2026-05-14 10:28:39
http://secure-bank-login-update.com/,100,HIGH RISK,2026-05-14 10:28:55
chrome://newtab/,14,SAFE,2026-05-14 10:38:04
https://www.google.com/,5,SAFE,2026-05-14 10:38:12
https://www.google.com/?zx=1778735292560,5,SAFE,2026-05-14 10:38:12
